ORIGINAL FILENAME:
Qkl_131_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       6.4176758   5.0248908e-17      0.00000
       6.4219848   4.9685412e-17      0.00000
       6.4262939   4.9141026e-17      0.00000
       6.4306029   4.8614831e-17      0.00000
       6.4349120   4.8105882e-17      0.00000
       6.4392210   4.7615912e-17      0.00000
       6.4435301   4.7142685e-17      0.00000
       6.4478391   4.6682420e-17      0.00000
       6.4521481   4.6234099e-17      0.00000
       6.4564572   4.5796781e-17      0.00000
       6.4607662   4.5372607e-17      0.00000
       6.4650753   4.4958862e-17      0.00000
       6.4693843   4.4554148e-17      0.00000
       6.4736934   4.4157958e-17      0.00000
       6.4780024   4.3769775e-17      0.00000
       6.4823115   4.3391330e-17      0.00000
       6.4866205   4.3019189e-17      0.00000
       6.4909295   4.2652769e-17      0.00000
       6.4952386   4.2291490e-17      0.00000
       6.4995476   4.1935066e-17      0.00000
       6.5038567   4.1583397e-17      0.00000
       6.5081657   4.1235243e-17      0.00000
       6.5124748   4.0890588e-17      0.00000
       6.5167838   4.0549422e-17      0.00000
       6.5210929   4.0212274e-17      0.00000
       6.5254019   3.9879115e-17      0.00000
       6.5297110   3.9549190e-17      0.00000
       6.5340200   3.9222402e-17      0.00000
       6.5383290   3.8898649e-17      0.00000
       6.5426381   3.8578491e-17      0.00000
       6.5469471   3.8261260e-17      0.00000
       6.5512562   3.7946609e-17      0.00000
       6.5555652   3.7634625e-17      0.00000
       6.5598743   3.7325494e-17      0.00000
       6.5641833   3.7020891e-17      0.00000
       6.5684924   3.6720205e-17      0.00000
       6.5728014   3.6423626e-17      0.00000
       6.5771104   3.6131382e-17      0.00000
       6.5814195   3.5843958e-17      0.00000
       6.5857285   3.5562888e-17      0.00000
       6.5900376   3.5286949e-17      0.00000
       6.5943466   3.5016301e-17      0.00000
       6.5986557   3.4751105e-17      0.00000
       6.6029647   3.4492405e-17      0.00000
       6.6072738   3.4241273e-17      0.00000
       6.6115828   3.3997034e-17      0.00000
       6.6158919   3.3760147e-17      0.00000
       6.6202009   3.3531055e-17      0.00000
       6.6245099   3.3312305e-17      0.00000
       6.6288190   3.3103715e-17      0.00000
       6.6331280   3.2904617e-17      0.00000
       6.6374371   3.2715410e-17      0.00000
       6.6417461   3.2536500e-17      0.00000
       6.6460552   3.2372000e-17      0.00000
       6.6503642   3.2219603e-17      0.00000
       6.6546733   3.2079520e-17      0.00000
       6.6589823   3.1952492e-17      0.00000
       6.6632913   3.1840010e-17      0.00000
       6.6676004   3.1747720e-17      0.00000
       6.6719094   3.1672111e-17      0.00000
       6.6762185   3.1614145e-17      0.00000
       6.6805275   3.1574823e-17      0.00000
       6.6848366   3.1557973e-17      0.00000
       6.6891456   3.1567907e-17      0.00000
       6.6934547   3.1601297e-17      0.00000
       6.6977637   3.1659527e-17      0.00000
       6.7020727   3.1744071e-17      0.00000
       6.7063818   3.1863323e-17      0.00000
       6.7106908   3.2019239e-17      0.00000
       6.7149999   3.2210033e-17      0.00000
       6.7193089   3.2438293e-17      0.00000
       6.7236180   3.2706739e-17      0.00000
       6.7279270   3.3033001e-17      0.00000
       6.7322361   3.3412048e-17      0.00000
       6.7365451   3.3844815e-17      0.00000
       6.7408542   3.4335163e-17      0.00000
       6.7451632   3.4888717e-17      0.00000
       6.7494722   3.5534262e-17      0.00000
       6.7537813   3.6256203e-17      0.00000
       6.7580903   3.7060442e-17      0.00000
       6.7623994   3.7953263e-17      0.00000
       6.7667084   3.8953180e-17      0.00000
       6.7710175   4.0088804e-17      0.00000
       6.7753265   4.1344181e-17      0.00000
       6.7796356   4.2728110e-17      0.00000
       6.7839446   4.4249740e-17      0.00000
       6.7882536   4.5950762e-17      0.00000
       6.7925627   4.7846133e-17      0.00000
       6.7968717   4.9921537e-17      0.00000
       6.8011808   5.2188295e-17      0.00000
       6.8054898   5.4658159e-17      0.00000
       6.8097989   5.7412910e-17      0.00000
       6.8141079   6.0434286e-17      0.00000
       6.8184170   6.3719858e-17      0.00000
       6.8227260   6.7286302e-17      0.00000
       6.8270351   7.1151897e-17      0.00000
       6.8313441   7.5459155e-17      0.00000
       6.8356531   8.0119485e-17      0.00000
       6.8399622   8.5150695e-17      0.00000
       6.8442712   9.0570195e-17      0.00000
       6.8485803   9.6433457e-17      0.00000
       6.8528893   1.0284865e-16      0.00000
       6.8571984   1.0972520e-16      0.00000
       6.8615074   1.1708441e-16      0.00000
       6.8658165   1.2494787e-16      0.00000
       6.8701255   1.3343489e-16      0.00000
       6.8744345   1.4259119e-16      0.00000
       6.8787436   1.5233510e-16      0.00000
       6.8830526   1.6268337e-16      0.00000
       6.8873617   1.7365156e-16      0.00000
       6.8916707   1.8542174e-16      0.00000
       6.8959798   1.9790631e-16      0.00000
       6.9002888   2.1103933e-16      0.00000
       6.9045979   2.2482378e-16      0.00000
       6.9089069   2.3926408e-16      0.00000
       6.9132160   2.5460287e-16      0.00000
       6.9175250   2.7062747e-16      0.00000
       6.9218340   2.8732325e-16      0.00000
       6.9261431   3.0468536e-16      0.00000
       6.9304521   3.2275065e-16      0.00000
       6.9347612   3.4162568e-16      0.00000
       6.9390702   3.6108431e-16      0.00000
       6.9433793   3.8108514e-16      0.00000
       6.9476883   4.0158025e-16      0.00000
       6.9519974   4.2256264e-16      0.00000
